,input,pred,output
0,gm,एीएीजी,जीएम
1,panjika,पंजिका,पंजिका
2,dikhaai,दिखाई,दिखार्इ
3,dhunai,धुनाई,धुनाई
4,baila,बैला,बैला
5,morepen,मोरेपेन,मोरपेन
6,dharmapoorwee,धर्मपुरीी,धर्मपूर्वी
7,awaazon,अवाजों,आवाज़ों
8,shutting,शुटिंग,शुटिंग
9,audhyogikaran,उधोज्याच्रर,औद्योगिकरण
10,amitao,अमिताओ,अमिताव
11,laphj,लाफज,लफ्ज
12,dharmaraajne,धर्माजाने,धर्मराजने
13,moran,मोरान,मोरन
14,theinga,थेंगा,ठेंगा
15,shasanadhikaariyon,शासंधिकरिययों,शासनाधिकारियों
16,dhatta,धत्ता,धत्ता
17,ulazaanon,उलाजनों,उलझानों
18,gonpo,गोंपो,गोंपो
19,pehno,पेनो,पहनो
20,mhajan,महजान,महाजन
21,pension,पेनशन,पेंषन
22,kshetren,क्षेत्रें,क्षेत्रें
23,pratikaraa,प्रतिकारा,प्रतिकारा
24,chico,चिको,चिको
25,durghatna,दुर्घटना,दुर्घटना
26,ratrichar,रातिचरर,रात्रिचर
27,upneta,उपनेता,उपनेता
28,dhoraaji,धोराजी,धोराजी
29,lapatta,लापत्ता,लापत्ता
30,stithi,स्तिथी,स्तिथि
31,offshor,उफ्फो,ऑफशोर
32,pintaa,पिंता,पिंटा
33,svayattshasan,स्वात्यास्थन,स्वायत्तशासन
34,raajneechi,राजाीीी,राजनीचि
35,seth,सेथ,सेथ
36,soochnah,सूचनह,सूचनाः
37,normal,नोरमल,नॉर्मल
38,aadan,आदन,आदान
39,prince,प्रिंस,प्रिंस
40,tasvaaron,तासवरों,तस्वारों
41,yaddasht,यद्द्ष्,याद्दाश्त
42,herrera,हेरेरा,हेरेरा
43,jankaron,जनकरों,जानकारों
44,krantiyon,क्रांतियों,क्रांतियों
45,haute,हौते,हाउते
46,vyvhargat,व्वाहर्गत,व्यवहारगत
47,deshke,देशके,देशके
48,laphz,लाफ़्,लफ्ज
49,financial,फिन्नियलल,फाइनेंसियल
50,ghise,घिसे,घिसे
51,gould,गॉल्ड,गोल्ड
52,khatedaar,खटेड़ार,खातेदार
53,fixingah,फिक्सिंगह,फिक्सिंगः
54,spray,स्परर,स्प्रे
